s41,province,huanbao,废水排放,二氧化硫排放总量,碳氮化物排放总理,烟粉尘排放总量,一般工业废气悟生产量, aa
17,河北,1.73,310921,1284697,1652468,1313313,43289,3
11,山西,2.68,138030,1255426,1157804,1026718,30520,4
3,内蒙,3.01,106920,1358692,1377573,822127,20081,5
27,辽宁,1.28,234508,1027044,955381,670586,26759,6
5,吉林,0.81,117703,381453,560519,320187,4591,7
31,黑龙江,2.08,153090,489094,751588,722454,6094,8
15,江苏,1.49,594359,941679,1338040,499961,10856,10
19,浙江,1.04,419120,593364,752976,319746,4300,11
9,安徽,2.66,266234,501349,863669,418617,11937,12
24,福建,1.3,259098,361003,438344,259363,8535,13
16,江西,1.67,207138,557704,570408,356271,11518,14
10,山东,1.55,494570,1644967,1651328,696726,18172,15
18,河南,0.9,412582,1253984,1565643,641273,16270,16
21,湖北,1.02,294054,599353,612392,359525,8181,17
22,湖南,0.95,307227,641321,588161,358671,7806,18
13,广西,1.52,225303,471987,504307,289474,7676,20
28,重庆,1.37,142535,547686,362043,191204,3162,22
6,四川,0.89,307648,816706,624314,296005,14007,23
26,贵州,1.37,93085,986423,557292,301302,8194,24
2, 云南,1.68,156583,663091,523672,386895,16040,25
29,陕西,1.38,132169,806152,758898,537739,7491,27
23,甘肃,2.81,64969,561981,442926,226574,5907,28
30,青海,1.75,21953,156694,132256,173762,12377,29
8,宁夏,2.82,38528,389712,437440,230620,3277,30
